,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
7,Physical,Horizon,BOOK,2018,2,1,Spain : a history / edited by Raymond Carr.,,,Spain History,"Oxford University Press,",2000.
20,Physical,Horizon,BOOK,2018,3,1,Salvo el crepúsculo / Julio Cortázar.,,"Cortázar, Julio",,"Alfaguara,",[1985]
25,Physical,Horizon,BOOK,2018,3,2,India.,,,"India Description and travel, India Guidebooks","Doris Kindersley Limited,",2017.
30,Physical,Horizon,BOOK,2018,3,1,By the Iowa sea : a memoir / Joe Blair.,,"Blair, Joe, 1962-",Blair Joe 1962,"Scribner,",2012.
43,Physical,Horizon,BOOK,2018,8,2,Zen of drawing / Peter Parr.,,"Parr, Peter","Drawing Technique, Zen art","Batsford,",2015.
45,Physical,Horizon,BOOK,2018,9,1,Robert Asprin's myth-fits / Jody Lynn Nye.,,"Nye, Jody Lynn, 1957-",Fantasy fiction,"Ace,",2016.
57,Physical,Horizon,BOOK,2018,12,8,The only story / Julian Barnes.,,"Barnes, Julian","Man woman relationships Fiction, Psychological fiction, Bildungsromans","Alfred A. Knopf,",[2018]
58,Physical,Horizon,BOOK,2018,12,1,Caesar and Christ; a history of Roman civilization and of Christianity from their beginnings to A.D. 325.,,"Durant, Will, 1885-1981","Civilization History, Rome Civilization","Simon & Schuster,",1944.
59,Physical,Horizon,BOOK,2018,12,1,Dark magic / Christine Feehan.,,"Feehan, Christine","Magicians Fiction, Vampires Fiction, New Orleans La Fiction, Paranormal romance stories","Avon,",[2010]
60,Physical,Horizon,BOOK,2018,12,1,The art of perspective / Yves Leblanc.,,"LeBlanc, Yves","Perspective, Drawing Technique","New Holland Publishers Ltd.,",2011.
62,Physical,Horizon,BOOK,2018,12,1,The Prometheus man / Scott Reardon.,,"Reardon, Scott","United States Central Intelligence Agency Officials and employees Fiction, Thrillers Fiction, Spy fiction","Mulholland Books, Little, Brown and Company,",2017.
63,Physical,Horizon,BOOK,2018,12,1,Stuart goes to school / by Sara Pennypacker ; illustrated by Martin Matje.,,"Pennypacker, Sara, 1951-","First day of school Juvenile fiction, Worry Juvenile fiction, Anxiety in children Juvenile fiction, Anxiety Juvenile fiction, Magic Fiction","Orchard Books,",2003.
66,Physical,Horizon,BOOK,2018,12,1,Alice in bed / Cathleen Schine.,,"Schine, Cathleen","Hospital patients Fiction, Women patients Fiction, New York N Y Fiction, Humorous fiction, Medical novels","Picador,",2012.
68,Physical,Horizon,BOOK,2018,12,2,Promise / a novel by Judy Young.,,"Young, Judy, 1956-","Conduct of life Juvenile fiction, Children of prisoners Juvenile fiction, Secrecy Juvenile fiction, Fathers and sons Juvenile fiction, Ex convicts Juvenile fiction, Middle schools Juvenile fiction, Grandparents as parents Juvenile fiction, Crows as pets Juvenile fiction","Sleeping Bear Press,",[2015]
71,Physical,Horizon,BOOK,2018,12,1,The rope / Nevada Barr.,,"Barr, Nevada","Pigeon Anna Fictitious character Fiction, Temporary employees Fiction, Imprisonment Fiction, Large type books, Glen Canyon National Recreation Area Utah and Ariz Fiction, Mystery fiction","Wheeler Pub.,",2012.
72,Physical,Horizon,BOOK,2018,12,2,Washington / Matthew Lombardi.,,"Lombardi, Matthew",Washington State Guidebooks,"Avalon Travel,",2016.
73,Physical,Horizon,BOOK,2018,12,2,What's it all about? : an autobiography / Michael Caine.,,"Caine, Michael","Caine Michael, Motion picture actors and actresses Great Britain Biography","Turtle Bay Books,",1992.
74,Physical,Horizon,BOOK,2018,12,1,Wing nuts : screwy haiku / by Paul B. Janeczko and J. Patrick Lewis ; illustrated by Tricia Tusa.,,"Janeczko, Paul B.","Childrens poetry American Juvenile literature, Senryu American Juvenile literature, American poetry Juvenile literature, Haiku","Little, Brown,",2006.
81,Physical,Horizon,BOOK,2018,12,2,Zoo / by Rebecca Pettiford.,,"Pettiford, Rebecca","Zoos Juvenile literature, Zoo animals Juvenile literature, School field trips Juvenile literature","Jump!, Inc.,",[2016]
156,Physical,Horizon,BOOK,2018,1,1,Arizona / by Bill Weir.,,"Weir, Bill, 1951-",Arizona Guidebooks,"National Geographic,",2011.
164,Physical,Horizon,BOOK,2018,1,1,Glass lunch / Robert Hunter.,,"Hunter, Robert, 1941 June 23-",,"Penguin Books,",1997.
176,Physical,Horizon,BOOK,2018,1,1,The breaker / Minette Walker.,,"Walters, Minette",Large type books,"Compass Press,",1999.
187,Physical,Horizon,BOOK,2018,1,1,Crochet : step by step / Sally Harding.,,"Harding, Sally",Crocheting Technique,"Dk Publishing,",2013.
195,Physical,Horizon,BOOK,2018,1,1,Speak for the dead / Margaret Yorke.,,"Yorke, Margaret",,"Viking,",1988.
196,Physical,Horizon,BOOK,2018,1,1,Lord of chaos / Robert Jordan.,,"Jordan, Robert, 1948-2007",Fantasy fiction,"TOR,",1994.
197,Physical,Horizon,BOOK,2018,1,13,Airplanes / Byron Barton.,,"Barton, Byron",Airplanes Juvenile literature,"T.Y. Crowell,",[1986]
206,Physical,Horizon,BOOK,2018,1,1,Maybe this time / Jennifer Crusie.,,"Crusie, Jennifer","Nannies Fiction, Haunted houses Fiction, Large type books, Humorous fiction, Love stories, Ghost stories, Domestic fiction","Center Point Pub.,",2010.
207,Physical,Horizon,BOOK,2018,1,1,Bienestar emocional / Osho ; traducción de Esperanza Moriones.,,"Osho, 1931-1990,",Emotions,"Debolsillo,",2017.
208,Physical,Horizon,BOOK,2018,1,1,Hunting Eve / Iris Johansen.,,"Johansen, Iris","Duncan Eve Fictitious character Fiction, Tracking and trailing Fiction, Secrecy Fiction, Suspense fiction, Mystery fiction","St. Martin's Press,",2013.
209,Physical,Horizon,BOOK,2018,1,2,The book of night women / Marlon James.,,"James, Marlon, 1970-","Slaves Fiction, Jamaica Fiction, Historical fiction","Riverhead Books,",2010.
210,Physical,Horizon,BOOK,2018,1,4,There was an old lady who swallowed a fly / illustrated by Pam Adams.,,,"Nonsense verses Juvenile literature, Folk songs English Texts, Toy and movable books Specimens","Child's Play,",2002.
212,Physical,Horizon,BOOK,2018,1,5,"Trinity. Vol. 2, Dead space / Francis Manapul, Cullen Bunn, writers ; Francis Manapul, Scott Hanna [and six others], artists ; Francis Manapul, Wil Quintana [and three others], colorists ; Steve Wands, Tom Napolitano, letterers.",,"Manapul, Francis","Batman Fictitious character Comic books strips etc, Superman Fictitious character Comic books strips etc, Wonder Woman Fictitious character Comic books strips etc, Superheroes Comic books strips etc, Comics Graphic works, Graphic novels, Superhero comics","DC Comics,",[2017]
